feature,importance
seq_iat_01,0.05036268024356788
seq_iat_02,0.04919581322758164
seq_iat_03,0.04867806741264324
mean_iat_up,0.04790419952165447
seq_iat_04,0.047290999530751436
std_iat,0.0463889453508471
std_iat_down,0.04638311716472714
duration_s,0.044759841707400556
seq_iat_05,0.044755210438596246
std_iat_up,0.04360201450715978
std_pkt_sz,0.04131973434194162
byte_ratio_up,0.03838961742229381
mean_pkt_sz,0.038231479187381893
total_bytes,0.03745262934815665
seq_iat_06,0.03716845391998055
mean_pkt_sz_up,0.0363704701828765
seq_size_04,0.029559295563313295
seq_size_02,0.02853776386201743
seq_size_05,0.024591845103975184
seq_size_03,0.020645452549914112
seq_dir_05,0.015556285479294647
seq_dir_02,0.013075446047988154
seq_size_06,0.01190369584049738
seq_iat_07,0.010240483785553011
seq_size_07,0.010004236116797786
total_pkts,0.009400061925436276
seq_iat_08,0.00867530586767956
seq_dir_10,0.008103199416093962
seq_dir_04,0.008002447152377131
pkt_ratio_up,0.007916261654464178
seq_iat_09,0.0073714169889511245
seq_dir_03,0.006192776357109014
seq_size_08,0.006134895168292907
seq_dir_06,0.005704692997024649
seq_dir_07,0.005320031568453017
seq_dir_11,0.004889782888162492
pkts_up,0.0043510711719592565
seq_dir_13,0.004318722056819598
seq_dir_12,0.004238745531847311
seq_size_09,0.0038992020879983044
seq_dir_14,0.0038897584375662117
max_pkt_sz,0.003822919448280892
min_pkt_sz,0.003592638840409931
seq_iat_12,0.003352567996126633
seq_iat_11,0.003311195901248243
seq_size_10,0.0032152772845438528
seq_iat_10,0.003196946926764738
seq_dir_09,0.0030370960764495194
seq_dir_08,0.0026522149088552796
seq_size_11,0.002327316293627762
seq_size_12,0.0021960215971862517
seq_size_14,0.001789959087694909
seq_size_13,0.0014617605517657484
seq_size_00,0.0012992242800056704
seq_iat_13,0.0012028494480344216
seq_dir_01,0.0008998787640256233
seq_size_01,0.0008575561917249394
seq_iat_14,0.0007709868981255351
seq_dir_00,0.00023744037798362853
seq_iat_00,0.0
