flow_display,label,duration_s,total_pkts,total_bytes,pkts_up,mean_pkt_sz,std_pkt_sz,min_pkt_sz,max_pkt_sz,mean_pkt_sz_up,std_iat,mean_iat_up,std_iat_up,std_iat_down,byte_ratio_up,pkt_ratio_up,entropy,seq_size_00,seq_size_01,seq_size_02,seq_size_03,seq_size_04,seq_size_05,seq_size_06,seq_size_07,seq_size_08,seq_size_09,seq_size_10,seq_size_11,seq_size_12,seq_size_13,seq_size_14,seq_size_15,seq_size_16,seq_size_17,seq_size_18,seq_size_19,seq_dir_00,seq_dir_01,seq_dir_02,seq_dir_03,seq_dir_04,seq_dir_05,seq_dir_06,seq_dir_07,seq_dir_08,seq_dir_09,seq_dir_10,seq_dir_11,seq_dir_12,seq_dir_13,seq_dir_14,seq_dir_15,seq_dir_16,seq_dir_17,seq_dir_18,seq_dir_19,seq_iat_00,seq_iat_01,seq_iat_02,seq_iat_03,seq_iat_04,seq_iat_05,seq_iat_06,seq_iat_07,seq_iat_08,seq_iat_09,seq_iat_10,seq_iat_11,seq_iat_12,seq_iat_13,seq_iat_14,seq_iat_15,seq_iat_16,seq_iat_17,seq_iat_18,seq_iat_19,tls_up_03,tls_up_04,tls_up_05,tls_up_06,tls_up_07,tls_up_08,tls_up_09,tls_up_10,tls_up_11,tls_up_12,tls_up_13,tls_up_14,tls_up_15,tls_up_16,tls_up_17,tls_up_18,tls_up_19,tls_down_08,tls_down_09,tls_down_10,tls_down_11,tls_down_12,tls_down_13,tls_down_14,tls_down_15,tls_down_16,tls_down_17,tls_down_18,tls_down_19
10.11.0.30:39036 → 10.11.0.5:8445,6,0.01964712142944336,7,1217,3,173.85714285714286,110.49046500555085,27,287,148.33333333333334,0.0007600735004991909,0.00011646747589111328,0.00013368980347655586,0.0010709254444418058,0.3656532456861134,0.42857142857142855,5.6875,80,287,275,287,90,171,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017189979553222656,0.00003910064697265625,0.0000209808349609375,0.00000095367431640625,0.00191497802734375,0.00006198883056640625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:42106 → 10.11.0.5:8444,5,0.016987085342407227,7,1217,3,173.85714285714286,110.49046500555085,27,287,148.33333333333334,0.00045357117104659507,0.00012958049774169922,0.0001080645195819323,0.0007110584740423926,0.3656532456861134,0.42857142857142855,5.675704882778696,80,287,287,275,90,171,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011515617370605469,0.00003886222839355469,0.000051975250244140625,0.00005316734313964844,0.0011708736419677734,0.000050067901611328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:42204 → 10.11.0.5:8444,5,0.012666940689086914,7,1217,3,173.85714285714286,110.49046500555085,27,287,148.33333333333334,0.00028415275653666814,0.00006902217864990234,0.0000777187886540886,0.00039712436902975966,0.3656532456861134,0.42857142857142855,5.613204882778696,80,287,275,90,287,171,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000102996826171875,0.0000209808349609375,0.000014066696166992188,0.0000050067901611328125,0.0007269382476806641,0.00003814697265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:46466 → 10.11.0.5:8444,5,0.016981124877929688,7,1217,3,173.85714285714286,110.49046500555085,27,287,148.33333333333334,0.0004601024055927608,0.00014793872833251953,0.00015695486385456937,0.0007144604075779011,0.3656532456861134,0.42857142857142855,5.58805425036562,80,287,287,275,90,171,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014781951904296875,0.00005412101745605469,0.00005698204040527344,0.00003695487976074219,0.0011889934539794922,0.00003695487976074219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:42114 → 10.11.0.5:8444,5,0.013622045516967773,7,1299,3,185.57142857142858,104.45709987495208,27,287,175.66666666666666,0.00036252827706849286,0.00007653236389160156,0.00008564239617413667,0.0005094466882375023,0.40569668976135487,0.42857142857142855,5.61930425036562,80,287,276,171,287,171,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011992454528808594,0.0000171661376953125,0.000015974044799804688,0.0000059604644775390625,0.0009219646453857422,0.0000400543212890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:48602 → 10.11.0.5:8445,6,0.01301884651184082,7,1217,3,173.85714285714286,110.49046500555085,27,287,148.33333333333334,0.0003761337224703079,0.00007295608520507813,0.0000832821726575266,0.000529891518433602,0.3656532456861134,0.42857142857142855,5.625,80,287,275,90,287,171,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011777877807617188,0.000014066696166992188,0.000014066696166992188,0.000010013580322265625,0.0009539127349853516,0.00003409385681152344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:45942 → 10.11.0.5:8445,6,0.016723155975341797,7,1217,3,173.85714285714286,110.49046500555085,27,287,148.33333333333334,0.0005836858148672813,0.00011146068572998047,0.00011649388928411111,0.0008628493657976532,0.3656532456861134,0.42857142857142855,5.519454882778696,80,287,287,275,90,171,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012087821960449219,0.00004100799560546875,0.000031948089599609375,0.000029087066650390625,0.001483917236328125,0.00006008148193359375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:39058 → 10.11.0.5:8445,6,0.019234895706176758,7,1217,3,173.85714285714286,110.49046500555085,27,287,148.33333333333334,0.0007233277809736947,0.00015056133270263672,0.00016066378652352805,0.0010762475664379278,0.3656532456861134,0.42857142857142855,5.6875,80,287,287,275,90,171,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001590251922607422,0.00005698204040527344,0.000048160552978515625,0.00003695487976074219,0.0018429756164550781,0.00007104873657226563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:53944 → 10.11.0.5:8444,5,0.016582012176513672,7,1216,3,173.71428571428572,110.61753068676815,27,287,148,0.00032826306018234595,0.00009608268737792969,0.0001045241843070172,0.00047807921135055545,0.3651315789473684,0.42857142857142855,5.613204882778696,80,287,287,275,89,171,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012111663818359375,0.00004291534423828125,0.0000059604644775390625,0.000022172927856445313,0.00084686279296875,0.000051021575927734375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:39008 → 10.11.0.5:8445,6,0.017394065856933594,7,1217,3,173.85714285714286,110.49046500555085,27,287,148.33333333333334,0.0003318552190714889,0.0000959634780883789,0.00010907604394619375,0.000463821904222728,0.3656532456861134,0.42857142857142855,5.675704882778696,80,287,275,287,90,171,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001380443572998047,0.00003504753112792969,0.000015974044799804688,0.00000286102294921875,0.0008540153503417969,0.00005602836608886719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
