flow_display,label,start_ts,eval_n,duration_s,total_pkts,total_bytes,pkts_up,mean_pkt_sz,std_pkt_sz,min_pkt_sz,max_pkt_sz,mean_pkt_sz_up,std_iat,mean_iat_up,std_iat_up,std_iat_down,byte_ratio_up,pkt_ratio_up,seq_size_00,seq_size_01,seq_size_02,seq_size_03,seq_size_04,seq_size_05,seq_size_06,seq_size_07,seq_size_08,seq_size_09,seq_size_10,seq_size_11,seq_size_12,seq_size_13,seq_size_14,seq_size_15,seq_size_16,seq_size_17,seq_size_18,seq_size_19,seq_dir_00,seq_dir_01,seq_dir_02,seq_dir_03,seq_dir_04,seq_dir_05,seq_dir_06,seq_dir_07,seq_dir_08,seq_dir_09,seq_dir_10,seq_dir_11,seq_dir_12,seq_dir_13,seq_dir_14,seq_dir_15,seq_dir_16,seq_dir_17,seq_dir_18,seq_dir_19,seq_iat_00,seq_iat_01,seq_iat_02,seq_iat_03,seq_iat_04,seq_iat_05,seq_iat_06,seq_iat_07,seq_iat_08,seq_iat_09,seq_iat_10,seq_iat_11,seq_iat_12,seq_iat_13,seq_iat_14,seq_iat_15,seq_iat_16,seq_iat_17,seq_iat_18,seq_iat_19,tls_up_00,tls_up_01,tls_up_02,tls_up_03,tls_up_04,tls_up_05,tls_up_06,tls_up_07,tls_up_08,tls_up_09,tls_up_10,tls_up_11,tls_up_12,tls_up_13,tls_up_14,tls_up_15,tls_up_16,tls_up_17,tls_up_18,tls_up_19,tls_down_00,tls_down_01,tls_down_02,tls_down_03,tls_down_04,tls_down_05,tls_down_06,tls_down_07,tls_down_08,tls_down_09,tls_down_10,tls_down_11,tls_down_12,tls_down_13,tls_down_14,tls_down_15,tls_down_16,tls_down_17,tls_down_18,tls_down_19
10.11.0.30:47942 → 10.11.0.5:8440,1,1782734089.586997,n3,0.0034430027008056,3,2856,2,952.0,1282.8316335357497,80,2425,215.5,0.0002560842515521,0.0001969337463378,0.0,0.0,0.1509103641456582,0.6666666666666666,2425,80,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005590915679931,0.0001969337463378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,811,281,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:47942 → 10.11.0.5:8440,1,1782734089.586997,n5,0.0034899711608886,5,3449,3,689.8,987.1796695637528,80,2425,171.33333333333334,0.0002528125228957,0.0001219511032104,0.0001060414708534,0.0,0.1490287039721658,0.6,2425,80,351,510,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005590915679931,0.0001969337463378,3.88622283935e-05,8.1062316894e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,346,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,811,281,69,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:55528 → 10.11.0.5:8443,4,1782734093.076005,n3,0.005713939666748,3,3316,2,1105.3333333333333,1199.8876336279716,80,2425,445.5,0.0003365004385109,0.0002880096435546,0.0,0.0,0.2686972255729795,0.6666666666666666,2425,80,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007638931274414,0.0002880096435546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,811,281,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:55528 → 10.11.0.5:8443,4,1782734093.076005,n5,0.0057699680328369,5,3909,3,781.8,968.978689136144,80,2425,324.6666666666667,0.0003469784895251,0.0001720190048217,0.0001640355344043,0.0,0.2491685853159375,0.6,2425,80,811,510,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007638931274414,0.0002880096435546,2.5987625122e-05,3.00407409667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,806,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,811,281,69,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:55528 → 10.11.0.5:8443,4,1782734093.076005,n8,2.8376729488372803,8,4651,5,581.375,786.4209954870591,80,2425,307.8,1.06815387877121,0.7080617547035217,1.4158342318946255,0.0026213653899835,0.3308965813803483,0.625,2425,80,811,510,83,177,406,159,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007638931274414,0.0002880096435546,2.5987625122e-05,3.00407409667e-05,0.0047550201416015,2.8270580768585205,8.98838043212e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,806,78,401,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,811,281,69,250,250,172,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:48220 → 10.11.0.5:8443,4,1782734093.091497,n3,4.579574108123779,3,15954,0,5318.0,3329.001652147382,1474,7240,0.0,3.238192104373231,0.0,0.0,3.238192104373231,-0.0,0.0,1474,7240,7240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.579522132873535,2.69412994384e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:48220 → 10.11.0.5:8443,4,1782734093.091497,n5,4.579584121704102,5,30434,0,6086.8,3292.834523628541,1474,10136,0.0,2.289754907314017,0.0,0.0,2.289754907314017,-0.0,0.0,1474,7240,7240,10136,4344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.579522132873535,2.69412994384e-05,6.9141387939e-06,3.0994415283e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15949,16401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:55528 → 10.11.0.5:8443,4,1782734093.076005,n10,8.852109909057617,10,4852,5,485.2,723.4865889872767,24,2425,307.8,2.1037736039997608,0.7080617547035217,1.4158342318946255,2.861492849243835,0.3171887881286067,0.5,2425,80,811,510,83,177,406,159,177,24,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,1,-1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0.0007638931274414,0.0002880096435546,2.5987625122e-05,3.00407409667e-05,0.0047550201416015,2.8270580768585205,8.98838043212e-05,0.0051040649414062,6.009332895278931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,806,78,401,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,811,281,69,250,250,172,172,19,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:38182 → 10.11.0.5:8441,2,1782734105.211006,n3,0.0057301521301269,3,3163,2,1054.3333333333333,1221.70632041147,80,2425,369.0,0.0003218333352291,0.0003349781036376,0.0,0.0,0.233322794815049,0.6666666666666666,2425,80,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007901191711425,0.0003349781036376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,811,281,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:38182 → 10.11.0.5:8441,2,1782734105.211006,n5,0.0057971477508544,5,3756,3,751.2,970.2410525225164,80,2425,273.6666666666667,0.0003575646556512,0.0002009868621826,0.0001894922309049,0.0,0.2185835995740149,0.6,2425,80,658,510,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007901191711425,0.0003349781036376,2.69412994384e-05,4.0054321289e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,653,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,811,281,69,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:53044 → 10.11.0.5:8444,5,1782734113.555226,n3,0.0045599937438964,3,2711,2,903.6666666666666,1319.018700903567,80,2425,143.0,0.0003982034247309,0.0002570152282714,0.0,0.0,0.1054961268904463,0.6666666666666666,2425,80,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008201599121093,0.0002570152282714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,811,281,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:53044 → 10.11.0.5:8444,5,1782734113.555226,n5,0.0115218162536621,5,3650,2,730.0,962.9514525665352,80,2425,143.0,0.0032578033364081,0.0002570152282714,0.0,0.0040366565629793,0.0783561643835616,0.4,2425,80,206,510,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008201599121093,0.0002570152282714,8.79764556884e-05,0.0068738460540771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,811,281,69,250,250,424,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:37738 → 10.11.0.5:8445,6,1782734148.810863,n3,0.0056619644165039,3,3015,1,1005.0,1248.4089874716535,80,2425,80.0,0.0004143878145591,0.0,0.0,0.0,0.0265339966832504,0.3333333333333333,2425,80,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009620189666748,0.0003759860992431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,811,281,69,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
