flow_display,label,start_ts,eval_n,duration_s,total_pkts,total_bytes,pkts_up,mean_pkt_sz,std_pkt_sz,min_pkt_sz,max_pkt_sz,mean_pkt_sz_up,std_iat,mean_iat_up,std_iat_up,std_iat_down,byte_ratio_up,pkt_ratio_up,seq_size_00,seq_size_01,seq_size_02,seq_size_03,seq_size_04,seq_size_05,seq_size_06,seq_size_07,seq_size_08,seq_size_09,seq_size_10,seq_size_11,seq_size_12,seq_size_13,seq_size_14,seq_size_15,seq_size_16,seq_size_17,seq_size_18,seq_size_19,seq_dir_00,seq_dir_01,seq_dir_02,seq_dir_03,seq_dir_04,seq_dir_05,seq_dir_06,seq_dir_07,seq_dir_08,seq_dir_09,seq_dir_10,seq_dir_11,seq_dir_12,seq_dir_13,seq_dir_14,seq_dir_15,seq_dir_16,seq_dir_17,seq_dir_18,seq_dir_19,seq_iat_00,seq_iat_01,seq_iat_02,seq_iat_03,seq_iat_04,seq_iat_05,seq_iat_06,seq_iat_07,seq_iat_08,seq_iat_09,seq_iat_10,seq_iat_11,seq_iat_12,seq_iat_13,seq_iat_14,seq_iat_15,seq_iat_16,seq_iat_17,seq_iat_18,seq_iat_19,tls_up_00,tls_up_01,tls_up_02,tls_up_03,tls_up_04,tls_up_05,tls_up_06,tls_up_07,tls_up_08,tls_up_09,tls_up_10,tls_up_11,tls_up_12,tls_up_13,tls_up_14,tls_up_15,tls_up_16,tls_up_17,tls_up_18,tls_up_19,tls_down_00,tls_down_01,tls_down_02,tls_down_03,tls_down_04,tls_down_05,tls_down_06,tls_down_07,tls_down_08,tls_down_09,tls_down_10,tls_down_11,tls_down_12,tls_down_13,tls_down_14,tls_down_15,tls_down_16,tls_down_17,tls_down_18,tls_down_19
10.11.0.30:53836 → 10.11.0.5:8440,1,1782734060.689193,n3,0.008366107940673828,3,3015,1,1005,1248.4089874716537,80,2425,80,0.0004964898754583317,0,0,0,0.026533996683250415,0.3333333333333333,2425,80,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011131763458251953,0.00041103363037109375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,811,281,69,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:53836 → 10.11.0.5:8440,1,1782734060.689193,n5,0.008558988571166992,5,4169,3,833.8,961.5249346740832,80,2425,411.3333333333333,0.0004796616230338109,0.0003019571304321289,0.00031542701425553096,0,0.2959942432237947,0.6,2425,80,510,1002,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011131763458251953,0.00041103363037109375,0.00011396408081054688,0.00007891654968261719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,997,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,811,281,69,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:54802 → 10.11.0.5:8442,3,1782734071.18578,n3,0.0062160491943359375,3,3015,1,1005,1248.4089874716537,80,2425,80,0.0004744049268386232,0,0,0,0.026533996683250415,0.3333333333333333,2425,80,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001096963882446289,0.0004260540008544922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,811,281,69,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:54802 → 10.11.0.5:8442,3,1782734071.18578,n5,0.006298065185546875,5,3794,3,758.8,969.4770239670459,80,2425,286.3333333333333,0.0004988781770922681,0.00025403499603271484,0.00025170097930705916,0,0.2264101212440696,0.6,2425,80,510,696,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001096963882446289,0.0004260540008544922,0.0000059604644775390625,0.00007605552673339844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,691,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,811,281,69,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:48008 → 10.11.0.5:8445,6,1782734071.207565,n3,0.003682851791381836,3,3186,2,1062,1218.0422816963294,80,2425,380.5,0.00030834634370570076,0.00021696090698242188,0,0,0.23885750156936597,0.6666666666666666,2425,80,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006530284881591797,0.00021696090698242188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,811,281,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:48008 → 10.11.0.5:8445,6,1782734071.207565,n5,0.0037229061126708984,5,3779,3,755.8,969.7431103132417,80,2425,281.3333333333333,0.0002987673925725839,0.0001285076141357422,0.0001250918463803335,0,0.22333950780629797,0.6,2425,80,681,510,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006530284881591797,0.00021696090698242188,0.00003600120544433594,0.0000040531158447265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,676,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,811,281,69,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:35064 → 10.11.0.5:8442,3,1782734083.710153,n3,0.006247997283935547,3,3015,1,1005,1248.4089874716537,80,2425,80,0.00046243522186152934,0,0,0,0.026533996683250415,0.3333333333333333,2425,80,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001043081283569336,0.00038909912109375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,811,281,69,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:35064 → 10.11.0.5:8442,3,1782734083.710153,n5,0.0063228607177734375,5,4227,3,845.4,966.5439979638794,80,2425,430.6666666666667,0.0004748776775799363,0.0002319812774658203,0.00022927885589926354,0,0.3056541282233262,0.6,2425,80,510,1069,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001043081283569336,0.00038909912109375,0.0000050067901611328125,0.00006985664367675781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1064,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,811,281,69,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:53062 → 10.11.0.5:8445,6,1782734085.714168,n3,0.00570988655090332,3,3127,2,1042.3333333333333,1227.7077556704337,80,2425,351,0.0004010694104296676,0.000392913818359375,0,0,0.22449632235369363,0.6666666666666666,2425,80,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009601116180419922,0.000392913818359375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,811,281,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11.0.30:53062 → 10.11.0.5:8445,6,1782734085.714168,n5,0.005785942077636719,5,3789,3,757.8,959.9230177467358,80,2425,284.6666666666667,0.00043552179248426644,0.00023448467254638672,0.00022405264668391267,0,0.22538928477170758,0.6,2425,80,622,510,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009601116180419922,0.000392913818359375,0.00002193450927734375,0.00005412101745605469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,617,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,811,281,69,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
